env,method,config,F1_mean,F1_std,worst_R_mean,GRS_wj,GRS_ta,BRA,TD,rules_mean,E_CR_mean
MountainCar-v0,CBS,,0.7746198283846968,0.028048609189012808,0.2,0.8068321773310416,0.8144600062247122,0.979053333333333,0.0001928389499707999,13.3,-151.732
MountainCar-v0,default_consensus,,0.5522350615772467,0.06645304575180563,0.4034995937046295,0.6231441808662831,0.7209074875741545,0.83448,0.00038000292442421713,7.5,-183.14600000000002
MountainCar-v0,B3_vote,,0.7723550860155348,0.026731435349649908,0.2,,,0.9734177777777783,,13.4,-151.03199999999998
MountainCar-v0,tuned_merge_tuned_merge,"{'label': 'tuned_merge', 'B': 5, 'tau': 0.7, 'rho': 0.9, 'lambda1': 0.6, 'lambda2': 0.4}",0.7680439105681807,0.017412386452348366,0.2857142857142857,0.8762558920145622,0.8528878528878532,0.9448888888888887,0.00038000292442421713,11.4,-166.026
MountainCar-v0,soft_support (lB0.1_smsoft_sgoff),lB0.1_smsoft_sgoff,0.7265265117336636,0.005595369123193222,0.0,0.9089013183211588,0.8586335391856551,0.9839866666666669,0.00038000292442421713,17.4,-158.422
MountainCar-v0,v2_lB0.0_smhard_sgoff,lB0.0_smhard_sgoff,0.7680439105681807,0.017412386452348366,0.2857142857142857,0.8762558920145622,0.8528878528878532,0.9448888888888887,0.00038000292442421713,11.4,-166.026
MountainCar-v0,v2_lB0.0_smhard_sgon,lB0.0_smhard_sgon,0.7680439105681807,0.017412386452348366,0.2857142857142857,0.8762558920145622,0.8528878528878532,0.9448888888888887,0.00038000292442421713,11.4,-166.026
MountainCar-v0,v2_lB0.0_smsoft_sgoff,lB0.0_smsoft_sgoff,0.7275193371927219,0.006160480809606598,0.0,0.8856913356752266,0.8386888492770846,0.9813599999999999,0.00038000292442421713,17.7,-160.752
MountainCar-v0,v2_lB0.0_smsoft_sgon,lB0.0_smsoft_sgon,0.7275193371927219,0.006160480809606598,0.0,0.8854253730308732,0.8196504473010956,0.9813599999999999,0.00038000292442421713,18.3,-160.752
MountainCar-v0,v2_lB0.1_smhard_sgoff,lB0.1_smhard_sgoff,0.7680439105681807,0.017412386452348366,0.2857142857142857,0.8762558920145622,0.8528878528878532,0.9448888888888887,0.00038000292442421713,11.4,-166.026
MountainCar-v0,v2_lB0.1_smhard_sgon,lB0.1_smhard_sgon,0.7680439105681807,0.017412386452348366,0.2857142857142857,0.8762558920145622,0.8528878528878532,0.9448888888888887,0.00038000292442421713,11.4,-166.026
MountainCar-v0,v2_lB0.1_smsoft_sgoff,lB0.1_smsoft_sgoff,0.7265265117336636,0.005595369123193222,0.0,0.9089013183211588,0.8586335391856551,0.9839866666666669,0.00038000292442421713,17.4,-158.422
MountainCar-v0,v2_lB0.1_smsoft_sgon,lB0.1_smsoft_sgon,0.7265265117336636,0.005595369123193222,0.0,0.9086136624221666,0.8381774152155989,0.9839866666666669,0.00038000292442421713,18.0,-158.422
MountainCar-v0,v2_lB0.2_smhard_sgoff,lB0.2_smhard_sgoff,0.7680439105681807,0.017412386452348366,0.2857142857142857,0.8762558920145622,0.8528878528878532,0.9448888888888887,0.00038000292442421713,11.4,-166.026
MountainCar-v0,v2_lB0.2_smhard_sgon,lB0.2_smhard_sgon,0.7680439105681807,0.017412386452348366,0.2857142857142857,0.8762558920145622,0.8528878528878532,0.9448888888888887,0.00038000292442421713,11.4,-166.026
MountainCar-v0,v2_lB0.2_smsoft_sgoff,lB0.2_smsoft_sgoff,0.7277470842622831,0.0055265646372597045,0.0,0.9101708236123878,0.8511133498233605,0.9845200000000003,0.00038000292442421713,17.0,-158.824
MountainCar-v0,v2_lB0.2_smsoft_sgon,lB0.2_smsoft_sgon,0.7277470842622831,0.0055265646372597045,0.0,0.9098775067218396,0.8305634158678534,0.9845200000000003,0.00038000292442421713,17.6,-158.824
