Environment,Method,F1_mean,F1_std,worst_R_mean,worst_R_std,n_rules_mean,n_rules_std,E_CR_mean,E_CR_std
MountainCar-v0,default_consensus,0.5293,0.0660,0.3761,0.0758,7.0,0.6,-182.2,18.1
MountainCar-v0,tuned_merge,0.7598,0.0188,0.2857,0.0000,11.0,0.0,-170.1,20.0
MountainCar-v0,soft_support,0.7253,0.0054,0.0000,0.0000,18.2,1.7,-157.7,2.5
CartPole-v1,default_consensus,0.5525,0.0311,0.1226,0.0643,3.2,0.4,115.3,117.9
CartPole-v1,tuned_merge,0.8027,0.0149,0.6775,0.0796,8.4,1.5,155.3,82.7
CartPole-v1,soft_support,0.7867,0.0494,0.7014,0.0831,39.4,9.5,174.9,44.6
LunarLander-v3,default_consensus,0.2749,0.0194,0.0365,0.0269,15.4,0.5,-368.5,84.0
LunarLander-v3,tuned_merge,0.5338,0.0458,0.2603,0.1191,19.4,1.9,-497.6,102.3
LunarLander-v3,soft_support,0.6532,0.0222,0.3448,0.0690,52.4,9.1,-246.2,203.4
