env,config,f1_mean,f1_std,GRS_wj,GRS_ta,BRA,worst_action_recall_mean,n_rules_mean,group_size_mean
CartPole-v1,lB0.0_smhard_sgoff,0.56808,0.11470564763776896,0.15797375527770807,0.225,0.44787999999999994,0.22679999999999997,1.4,5.714285714285714
CartPole-v1,lB0.0_smhard_sgon,0.56808,0.11470564763776896,0.1313893434084117,0.3416666666666667,0.6366799999999999,0.22679999999999997,2.2,5.090909090909091
CartPole-v1,lB0.0_smsoft_sgoff,0.7760800000000001,0.06403094252000353,0.19712000668317095,0.487871129280924,0.72672,0.6704800000000001,38.0,1.668421052631579
CartPole-v1,lB0.0_smsoft_sgon,0.7760800000000001,0.06403094252000353,0.19712000668317095,0.487871129280924,0.72672,0.6704800000000001,38.0,1.668421052631579
CartPole-v1,lB0.1_smhard_sgoff,0.49984,0.00032000000000000913,0.6,0.6,0.84688,0.0764,0.4,5.5
CartPole-v1,lB0.1_smhard_sgon,0.49984,0.00032000000000000913,0.16632674112073026,0.19999999999999998,0.7531199999999999,0.0764,2.0,3.6
CartPole-v1,lB0.1_smsoft_sgoff,0.8044,0.05302195771564832,0.22602552765198225,0.43813203648892785,0.8078800000000002,0.69328,42.0,1.3666666666666667
CartPole-v1,lB0.1_smsoft_sgon,0.8044,0.05302195771564832,0.22602552765198225,0.43813203648892785,0.8078800000000002,0.69328,42.0,1.3666666666666667
CartPole-v1,lB0.2_smhard_sgoff,0.49984,0.00032000000000000913,0.6,0.6,0.84688,0.0764,0.4,5.5
CartPole-v1,lB0.2_smhard_sgon,0.49984,0.00032000000000000913,0.22750097484838477,0.26666666666666666,0.7531199999999999,0.0764,2.0,3.7
CartPole-v1,lB0.2_smsoft_sgoff,0.78776,0.050918978780018796,0.23920959831000843,0.40663328307759156,0.7827599999999999,0.6641600000000001,29.2,1.5205479452054795
CartPole-v1,lB0.2_smsoft_sgon,0.78776,0.050918978780018796,0.23920959831000843,0.40663328307759156,0.7827599999999999,0.6641600000000001,29.2,1.5205479452054795
LunarLander-v3,lB0.0_smhard_sgoff,0.5510909886754616,0.050728251283198515,0.2886461313605967,0.5970475266915757,0.75434,0.25356333667325626,22.0,5.745454545454545
LunarLander-v3,lB0.0_smhard_sgon,0.5510909886754616,0.050728251283198515,0.2886461313605967,0.5970475266915757,0.75434,0.25356333667325626,22.0,5.745454545454545
LunarLander-v3,lB0.0_smsoft_sgoff,0.5604004086557078,0.025185676167358645,0.2938087208225993,0.6288350313385894,0.7665,0.20584892716260011,35.8,4.223463687150838
LunarLander-v3,lB0.0_smsoft_sgon,0.5604004086557078,0.025185676167358645,0.2938087208225993,0.6288350313385894,0.7665,0.20584892716260011,35.8,4.223463687150838
LunarLander-v3,lB0.1_smhard_sgoff,0.5929068267396367,0.11945034236282966,0.29851267281973926,0.6138742295518906,0.73204,0.2701648393390832,20.8,5.105769230769231
LunarLander-v3,lB0.1_smhard_sgon,0.5929068267396367,0.11945034236282966,0.30387815581183597,0.6215161045850701,0.73204,0.2701648393390832,21.2,5.150943396226415
LunarLander-v3,lB0.1_smsoft_sgoff,0.6430409701631286,0.024972829585555783,0.26175243443068025,0.5649975362420337,0.80724,0.3465513039239581,50.6,2.984189723320158
LunarLander-v3,lB0.1_smsoft_sgon,0.6430409701631286,0.024972829585555783,0.26175243443068025,0.5649975362420337,0.80724,0.3465513039239581,50.6,2.984189723320158
LunarLander-v3,lB0.2_smhard_sgoff,0.5963994512025044,0.10662587432717381,0.3174526631516609,0.5978003848003848,0.7388000000000001,0.2667050756214062,20.0,4.99
LunarLander-v3,lB0.2_smhard_sgon,0.6357865998857639,0.03224433396434998,0.3340437318915148,0.6053095768965333,0.82912,0.3166228865960769,20.4,4.990196078431373
LunarLander-v3,lB0.2_smsoft_sgoff,0.6532462189233621,0.022172648290286454,0.2651180813667175,0.5747958959479822,0.8250800000000001,0.34480100378223705,52.4,2.877862595419847
LunarLander-v3,lB0.2_smsoft_sgon,0.6532462189233621,0.022172648290286454,0.2651180813667175,0.5747958959479822,0.8250800000000001,0.34480100378223705,52.4,2.877862595419847
