env,config,f1_mean,f1_std,GRS_wj,GRS_ta,BRA,worst_action_recall_mean,n_rules_mean,group_size_mean
MountainCar-v0,lB0.0_smhard_sgoff,0.7598160121283617,0.01883509263289738,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,11.0,4.818181818181818
MountainCar-v0,lB0.0_smhard_sgon,0.7598160121283617,0.01883509263289738,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,11.0,4.818181818181818
MountainCar-v0,lB0.0_smsoft_sgoff,0.7253161596505633,0.0054480949761472235,0.903691643877942,0.8594977640178879,0.9825200000000003,0.0,18.2,3.6153846153846154
MountainCar-v0,lB0.0_smsoft_sgon,0.7253161596505633,0.0054480949761472235,0.9034002423193124,0.8357727652464494,0.9825200000000003,0.0,18.6,3.6451612903225805
MountainCar-v0,lB0.1_smhard_sgoff,0.7598160121283617,0.01883509263289738,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,11.0,4.818181818181818
MountainCar-v0,lB0.1_smhard_sgon,0.7598160121283617,0.01883509263289738,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,11.0,4.818181818181818
MountainCar-v0,lB0.1_smsoft_sgoff,0.7253161596505633,0.0054480949761472235,0.903691643877942,0.8594977640178879,0.9825200000000003,0.0,18.2,3.6153846153846154
MountainCar-v0,lB0.1_smsoft_sgon,0.7253161596505633,0.0054480949761472235,0.9034002423193124,0.8357727652464494,0.9825200000000003,0.0,18.6,3.6451612903225805
MountainCar-v0,lB0.2_smhard_sgoff,0.7598160121283617,0.01883509263289738,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,11.0,4.818181818181818
MountainCar-v0,lB0.2_smhard_sgon,0.7598160121283617,0.01883509263289738,0.8790516639067654,0.841025641025641,0.93736,0.2857142857142857,11.0,4.818181818181818
MountainCar-v0,lB0.2_smsoft_sgoff,0.7277573047078024,0.0055750297231753395,0.9002162417726097,0.8337374686716792,0.9825199999999998,0.0,17.4,3.735632183908046
MountainCar-v0,lB0.2_smsoft_sgon,0.7277573047078024,0.0055750297231753395,0.8999155589285441,0.8100574966828837,0.9825199999999998,0.0,17.8,3.730337078651685
