env,method,config,f1_mean,f1_std,GRS_wj,GRS_ta,BRA,worst_action_recall_mean,n_rules_mean
CartPole-v1,CBS,baseline,0.7998,0.03354829354825671,0.31564457516378897,0.39217049977885887,0.7826,0.67976,12.6
CartPole-v1,B3_consensus,baseline,0.56808,0.11470564763776896,0.15797375527770807,0.225,0.44787999999999994,0.22679999999999997,1.4
CartPole-v1,B3_vote,baseline,0.82212,0.04371408926193017,,,0.8543199999999999,0.7184800000000001,12.8
CartPole-v1,soft_support,lB0.1_smsoft_sgoff,0.8044,0.05302195771564832,0.22602552765198225,0.43813203648892785,0.8078800000000002,0.69328,42.0
LunarLander-v3,CBS,baseline,0.661542808536779,0.009951385500872182,0.29948875009900444,0.6438258925410627,0.8965799999999999,0.26916890080428957,30.6
LunarLander-v3,B3_consensus,baseline,0.5176479154886753,0.014025285762573675,0.3406958059485224,0.6216972520233388,0.7353000000000001,0.27717117556259646,17.8
LunarLander-v3,B3_vote,baseline,0.6671857383904802,0.007603925797022134,,,0.9065199999999999,0.28900804289544235,30.2
LunarLander-v3,soft_support,lB0.2_smsoft_sgoff,0.6532462189233621,0.022172648290286454,0.2651180813667175,0.5747958959479822,0.8250800000000001,0.34480100378223705,52.4
