env,method,config,F1_mean,F1_std,worst_R_mean,GRS_wj,GRS_ta,BRA,TD,rules_mean,E_CR_mean
LunarLander-v3,CBS,,0.6784620837869924,0.026721393182962856,0.22546916890080432,0.13130207200053817,0.3890813457570134,0.8399555555555556,0.03539635745739445,30.0,-474.21249130591224
LunarLander-v3,default_consensus,,0.4121123606668646,0.1503210253756956,0.10056079111038899,0.12210425076866578,0.3345381716625041,0.5112088888888889,0.03439950841240623,13.7,-277.827045790655
LunarLander-v3,B3_vote,,0.6801208751971324,0.016247005560008212,0.2474530831099196,,,0.8351022222222224,,30.4,-334.3245354060682
LunarLander-v3,tuned_merge_tuned_merge_A,"{'label': 'tuned_merge_A', 'B': 5, 'tau': 0.7, 'rho': 0.9, 'lambda1': 0.6, 'lambda2': 0.4}",0.5930887619989385,0.08455516946372528,0.2925077404970166,0.15337718831195338,0.3628282924112176,0.6383688888888889,0.03439950841240623,16.9,-413.9544796761087
LunarLander-v3,tuned_merge_tuned_merge_B,"{'label': 'tuned_merge_B', 'B': 5, 'tau': 0.7, 'rho': 0.9, 'lambda1': 0.5, 'lambda2': 0.5}",0.6030774683551823,0.08395743981190003,0.2784236466542097,0.1485458769238592,0.3641156957839945,0.6528666666666668,0.03439950841240623,18.9,-428.3996049869108
LunarLander-v3,soft_support (lB0.2_smsoft_sgoff),lB0.2_smsoft_sgoff,0.6594861189763035,0.027052666141541996,0.2391565340627003,0.12975801727325617,0.38098084061491827,0.7657155555555556,0.03439950841240623,53.0,-286.097176417496
LunarLander-v3,v2_lB0.0_smhard_sgoff,lB0.0_smhard_sgoff,0.6077060722823229,0.0739105356675198,0.2683147380868561,0.1328552895966816,0.3722132501245933,0.6504311111111111,0.03439950841240623,20.7,-404.96678898040625
LunarLander-v3,v2_lB0.0_smhard_sgon,lB0.0_smhard_sgon,0.6086874095776319,0.07507504384274052,0.3177819301143698,0.13157612932125978,0.37204265111468654,0.6528177777777777,0.03439950841240623,20.9,-418.96088153495464
LunarLander-v3,v2_lB0.0_smsoft_sgoff,lB0.0_smsoft_sgoff,0.5843167020499851,0.044753384339375465,0.18094054937218476,0.13144393775982652,0.38578024861831395,0.68896,0.03439950841240623,39.2,-338.73578111863094
LunarLander-v3,v2_lB0.0_smsoft_sgon,lB0.0_smsoft_sgon,0.5843167020499851,0.044753384339375465,0.18094054937218476,0.13144393775982652,0.38578024861831395,0.68896,0.03439950841240623,39.2,-338.73578111863094
LunarLander-v3,v2_lB0.1_smhard_sgoff,lB0.1_smhard_sgoff,0.6402237398827398,0.10031930805582621,0.2715435456749035,0.13677128558790216,0.3784342918322641,0.6985377777777779,0.03439950841240623,20.2,-407.52141247048667
LunarLander-v3,v2_lB0.1_smhard_sgon,lB0.1_smhard_sgon,0.6403227580491931,0.10037977381953127,0.2761011864255738,0.13807100751532342,0.3785340696743389,0.69828,0.03439950841240623,20.6,-405.3980440112245
LunarLander-v3,v2_lB0.1_smsoft_sgoff,lB0.1_smsoft_sgoff,0.6493446981034178,0.03530880727195701,0.23976358761881547,0.12939181415708828,0.371880240802543,0.7409644444444443,0.03439950841240623,51.0,-338.663920278139
LunarLander-v3,v2_lB0.1_smsoft_sgon,lB0.1_smsoft_sgon,0.6493446981034178,0.03530880727195701,0.23976358761881547,0.12939181415708828,0.371880240802543,0.7409644444444443,0.03439950841240623,51.0,-338.663920278139
LunarLander-v3,v2_lB0.2_smhard_sgoff,lB0.2_smhard_sgoff,0.636631468868676,0.0893196358682016,0.2811084706872794,0.13779077169586965,0.3750402489770633,0.6919111111111111,0.03439950841240623,19.3,-429.05334598037643
LunarLander-v3,v2_lB0.2_smhard_sgon,lB0.2_smhard_sgon,0.660382008742068,0.04192859258537105,0.33073225553118313,0.1407481668720707,0.37478769639860515,0.7409244444444444,0.03439950841240623,19.7,-442.6345331209653
LunarLander-v3,v2_lB0.2_smsoft_sgoff,lB0.2_smsoft_sgoff,0.6594861189763035,0.027052666141541996,0.2391565340627003,0.12975801727325617,0.38098084061491827,0.7657155555555556,0.03439950841240623,53.0,-286.097176417496
LunarLander-v3,v2_lB0.2_smsoft_sgon,lB0.2_smsoft_sgon,0.6594861189763035,0.027052666141541996,0.2391565340627003,0.12975801727325617,0.38098084061491827,0.7657155555555556,0.03439950841240623,53.0,-286.097176417496
